Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub-Category,Product_Name,Sales,Shipping_Days,Order_Year,Order_Month,Quarter
16.0,US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106.0,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,4.0,2016.0,November,4.0
17.0,CA-2015-105893,2015-11-11,2015-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711.0,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,7.0,2015.0,November,4.0
18.0,CA-2015-167164,2015-05-13,2015-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084.0,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2.0,2015.0,May,2.0
19.0,CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109.0,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,5.0,2015.0,August,3.0
20.0,CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109.0,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,5.0,2015.0,August,3.0
21.0,CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109.0,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,5.0,2015.0,August,3.0
22.0,CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025.0,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,4.0,2017.0,December,4.0
23.0,CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025.0,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,4.0,2017.0,December,4.0
24.0,US-2018-156909,2018-07-16,2018-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2.0,2018.0,July,3.0
25.0,CA-2016-106320,2016-09-25,2016-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057.0,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,5.0,2016.0,September,3.0
26.0,CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049.0,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,4.0,2017.0,January,1.0
27.0,CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049.0,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,4.0,2017.0,January,1.0
28.0,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,4.0,2016.0,September,3.0
29.0,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,4.0,2016.0,September,3.0
30.0,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,4.0,2016.0,September,3.0
31.0,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,4.0,2016.0,September,3.0
32.0,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,4.0,2016.0,September,3.0
33.0,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,4.0,2016.0,September,3.0
34.0,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,4.0,2016.0,September,3.0
35.0,CA-2018-107727,2018-10-19,2018-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095.0,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,4.0,2018.0,October,4.0
36.0,CA-2017-117590,2017-12-08,2017-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080.0,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,2.0,2017.0,December,4.0
37.0,CA-2017-117590,2017-12-08,2017-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080.0,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,2.0,2017.0,December,4.0
38.0,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.0,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,4.0,2016.0,December,4.0
39.0,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.0,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,4.0,2016.0,December,4.0
40.0,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.0,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,4.0,2016.0,December,4.0
41.0,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.0,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4.0,2016.0,December,4.0
42.0,CA-2018-120999,2018-09-10,2018-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540.0,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,5.0,2018.0,September,3.0
43.0,CA-2017-101343,2017-07-17,2017-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049.0,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,5.0,2017.0,July,3.0
44.0,CA-2018-139619,2018-09-19,2018-09-23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935.0,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,4.0,2018.0,September,3.0
45.0,CA-2017-118255,2017-03-11,2017-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122.0,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2.0,2017.0,March,1.0
46.0,CA-2017-118255,2017-03-11,2017-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122.0,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2.0,2017.0,March,1.0
47.0,CA-2015-146703,2015-10-20,2015-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185.0,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,5.0,2015.0,October,4.0
48.0,CA-2017-169194,2017-06-20,2017-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901.0,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,5.0,2017.0,June,2.0
49.0,CA-2017-169194,2017-06-20,2017-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901.0,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,5.0,2017.0,June,2.0
50.0,CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.0,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,4.0,2016.0,April,2.0
51.0,CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.0,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,4.0,2016.0,April,2.0
52.0,CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.0,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,4.0,2016.0,April,2.0
53.0,CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150.0,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,4.0,2016.0,April,2.0
54.0,CA-2017-105816,2017-12-11,2017-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024.0,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,6.0,2017.0,December,4.0
55.0,CA-2017-105816,2017-12-11,2017-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024.0,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,6.0,2017.0,December,4.0
56.0,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,1.0,2017.0,June,2.0
57.0,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,1.0,2017.0,June,2.0
58.0,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,1.0,2017.0,June,2.0
59.0,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,1.0,2017.0,June,2.0
60.0,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,1.0,2017.0,June,2.0
61.0,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,1.0,2017.0,June,2.0
62.0,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1.0,2017.0,June,2.0
63.0,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.0,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,6.0,2016.0,November,4.0
64.0,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.0,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6.0,2016.0,November,4.0
65.0,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.0,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,6.0,2016.0,November,4.0
66.0,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.0,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,6.0,2016.0,November,4.0
67.0,US-2016-164175,2016-04-30,2016-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610.0,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5.0,2016.0,April,2.0
68.0,CA-2015-106376,2015-12-05,2015-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234.0,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,5.0,2015.0,December,4.0
69.0,CA-2015-106376,2015-12-05,2015-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234.0,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,5.0,2015.0,December,4.0
70.0,CA-2017-119823,2017-06-04,2017-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153.0,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2.0,2017.0,June,2.0
71.0,CA-2017-106075,2017-09-18,2017-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009.0,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,5.0,2017.0,September,3.0
72.0,CA-2018-114440,2018-09-14,2018-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201.0,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3.0,2018.0,September,3.0
73.0,US-2016-134026,2016-04-26,2016-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.0,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,6.0,2016.0,April,2.0
74.0,US-2016-134026,2016-04-26,2016-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.0,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,6.0,2016.0,April,2.0
75.0,US-2016-134026,2016-04-26,2016-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.0,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,6.0,2016.0,April,2.0
76.0,US-2018-118038,2018-12-09,2018-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.0,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,2.0,2018.0,December,4.0
77.0,US-2018-118038,2018-12-09,2018-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.0,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,2.0,2018.0,December,4.0
78.0,US-2018-118038,2018-12-09,2018-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.0,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,2.0,2018.0,December,4.0
79.0,US-2015-147606,2015-11-26,2015-12-01,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070.0,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5.0,2015.0,November,4.0
80.0,CA-2017-127208,2017-06-12,2017-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601.0,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,3.0,2017.0,June,2.0
81.0,CA-2017-127208,2017-06-12,2017-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601.0,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3.0,2017.0,June,2.0
82.0,CA-2015-139451,2015-10-12,2015-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122.0,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,4.0,2015.0,October,4.0
83.0,CA-2015-139451,2015-10-12,2015-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122.0,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,4.0,2015.0,October,4.0
84.0,CA-2016-149734,2016-09-03,2016-09-08,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707.0,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,5.0,2016.0,September,3.0
85.0,US-2018-119662,2018-11-13,2018-11-16,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623.0,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3.0,2018.0,November,4.0
86.0,CA-2018-140088,2018-05-28,2018-05-30,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203.0,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2.0,2018.0,May,2.0
87.0,CA-2018-155558,2018-10-26,2018-11-02,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901.0,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,7.0,2018.0,October,4.0
88.0,CA-2018-155558,2018-10-26,2018-11-02,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901.0,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,7.0,2018.0,October,4.0
89.0,CA-2017-159695,2017-04-05,2017-04-10,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095.0,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,5.0,2017.0,April,2.0
90.0,CA-2017-109806,2017-09-17,2017-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036.0,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,5.0,2017.0,September,3.0
91.0,CA-2017-109806,2017-09-17,2017-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036.0,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,5.0,2017.0,September,3.0
92.0,CA-2017-109806,2017-09-17,2017-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036.0,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,5.0,2017.0,September,3.0
93.0,CA-2016-149587,2016-01-31,2016-02-05,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,5.0,2016.0,January,1.0
94.0,CA-2016-149587,2016-01-31,2016-02-05,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,5.0,2016.0,January,1.0
95.0,CA-2016-149587,2016-01-31,2016-02-05,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,5.0,2016.0,January,1.0
96.0,US-2018-109484,2018-11-06,2018-11-12,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206.0,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,6.0,2018.0,November,4.0
97.0,CA-2018-161018,2018-11-09,2018-11-11,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009.0,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,2.0,2018.0,November,4.0
98.0,CA-2018-157833,2018-06-17,2018-06-20,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122.0,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3.0,2018.0,June,2.0
99.0,CA-2017-149223,2017-09-06,2017-09-11,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106.0,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,5.0,2017.0,September,3.0
100.0,CA-2017-158568,2017-08-29,2017-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610.0,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,4.0,2017.0,August,3.0
101.0,CA-2017-158568,2017-08-29,2017-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610.0,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,4.0,2017.0,August,3.0
